MetaNetX,equation,deltag
MNXR106334,16 C00002 + 16 C00001 + 8 C00138 <=> 8 C05359 + 16 C00009 + 16 C00008 + 8 C00139; (16) cpd00001[0] + (16) cpd00002[0] + (8) cpd11620[0] => (16) cpd00008[0] + (16) cpd00009[0] + (16) cpd00067[0] + (8) cpd11621[0] + (8) cpd12713[0],10000000.0
MNXR100808; MNXR145285,C00013 + C00001 <=> 2 C00009; (1) cpd00001[0] + (1) cpd00012[0] <=> (2) cpd00009[0] + (1) cpd00067[0],-3.46
MNXR95786,C01010 + C00001 <=> 2 C00011 + 2 C00014; (1) cpd00001[0] + (3) cpd00067[0] + (1) cpd00742[0] => (2) cpd00011[0] + (2) cpd00013[0],-20.14
MNXR146819,,
MNXR106336,C06033 <=> 2 C00022; (1) cpd02570[0] <=> (2) cpd00020[0],4.49
MNXR96455,2 C00027 <=> C00007 + 2 C00001; (2) cpd00025[0] => (2) cpd00001[0] + (1) cpd00007[0],-46.06
MNXR192384,,
MNXR106337,2 C19610 + C00027 + 2 C00080 <=> 2 C19611 + 2 C00001; (2) cpd00001[0] <=> (1) cpd00025[0] + (2) cpd00067[0],62.53
MNXR106338,2 C00044 <=> C00013 + C01261; (2) cpd00038[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd00925[0],2.7
MNXR100303,(2) cpd00040[0] + (1) cpd00067[0] => (1) cpd00011[0] + (1) cpd00843[0]; 2 C00048 <=> C01146 + C00011,-4.57
MNXR102428,C00022 + C00068 <=> C05125 + C00011; (1) cpd00011[0] + (1) cpd03049[0] => (1) cpd00020[0] + (1) cpd00056[0] + (1) cpd00067[0]; (1) cpd00020[0] + (1) cpd00056[0] + (1) cpd00067[0] => (1) cpd00011[0] + (1) cpd03049[0],-7.23; 7.23
MNXR146820,,
MNXR151653; MNXR138164,(1) cpd00025[0] + (2) cpd00067[0] + (2) cpd00110[0] => (2) cpd00001[0] + (2) cpd00109[0]; C00027 + 2 C00126 <=> 2 C00125 + 2 C00001,10000000.0
MNXR100740,2 C00134 <=> C06366 + C00014; (2) cpd00118[0] <=> (1) cpd00013[0] + (1) cpd03802[0],-1.2
MNXR100757,(2) cpd00067[0] + (2) cpd11620[0] <= (2) cpd11621[0] + (1) cpd11640[0]; 2 C00138 + 2 C00080 <=> C00282 + 2 C00139,10000000.0
